"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"2009-016","2009-016-01","2009-016-01-01","2009-016-01-01-01",1/19/2010,2,"558 U.S. 220","130 S. Ct. 727","175 L. Ed. 2d 684","2010 U.S. LEXIS 762",2009,1703,"Roberts","09-5731","MARCUS A. WELLONS v. HILTON HALL, WARDEN",,,137,,28,13,1,,,0,60,,31,,1,12,2,1,1,5,0,1,0,0,10160,1,2,0,7,,9,900,"NA",,103,1,5,4
"2009-017","2009-017-01","2009-017-01-01","2009-017-01-01-01",1/19/2010,2,"558 U.S. 209","130 S. Ct. 721","175 L. Ed. 2d 675","2010 U.S. LEXIS 761",2009,1703,"Roberts","09-5270","ERIC PRESLEY v. GEORGIA",,,137,,28,13,1,,,0,302,13,300,13,1,12,2,1,1,4,0,1,0,0,10230,1,2,0,2,,2,217,"NA",,111,1,7,2
"2009-018","2009-018-01","2009-018-01-01","2009-018-01-01-01",1/13/2010,2,"558 U.S. 183","130 S. Ct. 705","175 L. Ed. 2d 657","2010 U.S. LEXIS 533",2009,1703,"Roberts","09A648","DENNIS HOLLINGSWORTH, et al., APPLICANTS v. KRISTIN M. PERRY et al.",,,251,,251,,12,,,0,50,,29,,0,12,9,2,1,1,0,1,0,0,90320,9,1,0,4,4,6,600,"28/207",,111,1,5,4
"2009-019","2009-019-01","2009-019-01-01","2009-019-01-01-01",1/13/2010,1,"558 U.S. 165","130 S. Ct. 693","175 L. Ed. 2d 642","2010 U.S. LEXIS 532",2009,1703,"Roberts","08-674","NRG POWER MARKETING, LLC, et al. v. MAINE PUBLIC UTILITIES COMMISSION et al.",11/3/2009,,148,,4,23,1,44,,0,32,,32,,0,10,6,2,1,4,0,1,0,0,80270,8,1,0,4,7,3,336,"NA",109,111,1,8,1
"2009-020","2009-020-01","2009-020-01-01","2009-020-01-01-01",1/12/2010,1,"558 U.S. 139","130 S. Ct. 676","175 L. Ed. 2d 595","2010 U.S. LEXIS 530",2009,1703,"Roberts","08-724","KEITH SMITH, WARDEN v. FRANK G. SPISAK, JR.",10/13/2009,,28,41,126,,1,,,0,103,,26,,0,12,7,2,1,3,0,1,0,0,10130,1,1,0,2,7,2,221,"NA",110,111,1,9,0
"2009-021","2009-021-01","2009-021-01-01","2009-021-01-01-01",1/11/2010,2,"558 U.S. 120","130 S. Ct. 665","175 L. Ed. 2d 582","2010 U.S. LEXIS 3",2009,1703,"Roberts","08-559","E. K. MCDANIEL, WARDEN, et al. v. TROY BROWN",,,28,33,126,,1,,,0,90,,29,,1,11,2,2,1,4,0,1,0,0,10020,1,1,0,7,,9,900,"NA",,111,1,9,0
"2009-022","2009-022-01","2009-022-01-01","2009-022-01-01-01",2/24/2010,1,"559 U.S. 98","130 S. Ct. 1213","175 L. Ed. 2d 1045","2010 U.S. LEXIS 1899",2009,1703,"Roberts","08-680","MARYLAND v. MICHAEL BLAINE SHATZER, SR.",10/5/2009,,28,25,137,,1,,,0,302,25,300,25,1,12,4,2,1,4,0,1,0,0,10100,1,1,0,2,,2,209,"NA",105,111,1,9,0
"2009-023","2009-023-01","2009-023-01-01","2009-023-01-01-01",2/23/2010,1,"559 U.S. 77","130 S. Ct. 1181","175 L. Ed. 2d 1029","2010 U.S. LEXIS 1897",2009,1703,"Roberts","08-1107","THE HERTZ CORPORATION v. MELINDA FRIEND et al.",11/10/2009,,151,,145,,1,,,0,50,,29,,0,2,2,2,1,5,0,1,0,0,90520,9,2,0,4,4,6,600,"28-1332",110,111,1,9,0
"2009-024","2009-024-01","2009-024-01-01","2009-024-01-01-01",2/23/2010,1,"559 U.S. 50","130 S. Ct. 1195","175 L. Ed. 2d 1009","2010 U.S. LEXIS 1898",2009,1703,"Roberts","08-1175","FLORIDA v. KEVIN DEWAYNE POWELL",12/7/2009,,28,12,137,,1,,,0,302,12,300,12,1,12,2,2,1,4,0,1,0,0,10100,1,1,0,2,,2,209,"NA",109,111,1,7,2
"2009-025","2009-025-01","2009-025-01-01","2009-025-01-01-01",2/22/2010,2,"559 U.S. 1088","130 S. Ct. 2141","176 L. Ed. 2d 758","2010 U.S. LEXIS 3270",2009,1703,"Roberts","09-273","RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION v. ANTHONY CARDELL HAYNES",,,28,51,126,,1,,,0,121,,25,,0,12,4,2,1,4,0,1,0,0,10230,1,1,0,7,,9,900,"NA",,111,1,9,0
